Scer_chrM	85779	9364	17463	12766	30229	1	17463	17464	17457	0.0	32238	99.989	17462	99.99	17462	1	1	1	1	1
Scer_chrM	85779	9364	17463	9268	9819	17333	16793	582	90	4.32e-39	167	73.883	430	73.88	430	81	63	71	1	-1
Scer_chrM	85779	9364	17463	56818	57025	1	200	214	81	4.35e-34	150	80.841	173	80.84	173	21	19	20	1	1
Scer_chrM	85779	9364	17463	44741	44940	201	1	211	80	1.57e-33	148	81.043	171	81.04	171	19	18	21	1	-1
Scer_chrM	85779	9364	17463	29971	30234	271	1	283	78	2.03e-32	145	77.739	220	77.74	220	32	26	31	1	-1
Scer_chrM	85779	9364	17463	8194	8472	17033	17317	293	78	2.03e-32	145	76.792	225	76.79	225	46	22	22	1	1
Scer_chrM	85779	9364	17463	11209	11761	16793	17325	574	75	9.43e-31	139	72.822	418	72.82	418	94	55	62	1	1
Scer_chrM	85779	9364	17463	70982	71284	17330	17044	314	73	1.22e-29	135	76.433	240	76.43	240	36	30	38	1	-1
Scer_chrM	85779	9364	17463	12771	13036	17463	17205	278	73	1.22e-29	135	77.338	215	77.34	215	32	27	31	1	-1
Scer_chrM	85779	9364	17463	11021	11362	17045	17411	379	72	4.39e-29	134	75.198	285	75.20	285	45	45	49	1	1
Scer_chrM	85779	9364	17463	56823	57025	17463	17247	220	72	4.39e-29	134	79.091	174	79.09	174	26	18	20	1	-1
Scer_chrM	85779	9364	17463	56898	57128	17251	17016	243	71	1.58e-28	132	77.778	189	77.78	189	35	19	19	1	-1
Scer_chrM	85779	9364	17463	4298	4430	1	134	136	70	5.67e-28	130	84.559	115	84.56	115	16	5	5	1	1
Scer_chrM	85779	9364	17463	76342	76640	16830	17120	314	70	5.67e-28	130	76.115	239	76.11	239	37	33	38	1	1
Scer_chrM	85779	9364	17463	48040	48191	17012	17160	156	69	2.04e-27	128	82.692	129	82.69	129	16	11	11	1	1
Scer_chrM	85779	9364	17463	44756	44935	17271	17463	193	69	2.04e-27	128	79.793	154	79.79	154	26	10	13	1	1
Scer_chrM	85779	9364	17463	67998	68253	15440	15179	275	67	2.64e-26	124	76.727	211	76.73	211	32	27	32	1	-1
Scer_chrM	85779	9364	17463	7	385	17201	16805	421	67	2.64e-26	124	74.584	314	74.58	314	41	57	66	1	-1
Scer_chrM	85779	9364	17463	84394	84541	16965	17130	166	67	2.64e-26	124	81.928	136	81.93	136	12	15	18	1	1
Scer_chrM	85779	9364	17463	2957	3318	16972	17326	379	67	2.64e-26	124	74.406	282	74.41	282	56	39	41	1	1
Scer_chrM	85779	9364	17463	53766	54138	17008	17398	401	67	2.64e-26	124	73.815	296	73.82	296	67	33	38	1	1
Scer_chrM	85779	9364	17463	4303	4388	17463	17373	91	67	2.64e-26	124	92.308	84	92.31	84	2	4	5	1	-1
Scer_chrM	85779	9364	17463	34736	34980	16882	17120	255	65	3.41e-25	121	76.863	196	76.86	196	33	24	26	1	1
Scer_chrM	85779	9364	17463	77503	77725	16893	17130	246	65	3.41e-25	121	77.642	191	77.64	191	24	27	31	1	1
Scer_chrM	85779	9364	17463	62644	63115	16879	17324	492	63	4.42e-24	117	73.171	360	73.17	360	66	52	66	1	1
Scer_chrM	85779	9364	17463	47273	47708	17325	16880	468	63	4.42e-24	117	73.077	342	73.08	342	72	51	54	1	-1
Scer_chrM	85779	9364	17463	50025	50355	16986	17333	357	63	4.42e-24	117	74.230	265	74.23	265	57	35	35	1	1
Scer_chrM	85779	9364	17463	68797	69134	16819	17154	359	61	5.71e-23	113	74.373	267	74.37	267	48	37	44	1	1
Scer_chrM	85779	9364	17463	8988	9345	17031	17388	379	61	5.71e-23	113	73.879	280	73.88	280	57	37	42	1	1
Scer_chrM	85779	9364	17463	52330	52506	17118	16947	185	60	2.05e-22	111	79.459	147	79.46	147	17	19	21	1	-1
Scer_chrM	85779	9364	17463	34251	34399	17033	17187	159	59	7.39e-22	110	80.503	128	80.50	128	17	12	14	1	1
Scer_chrM	85779	9364	17463	80377	80576	16948	17153	214	56	3.44e-20	104	77.103	165	77.10	165	27	20	22	1	1
Scer_chrM	85779	9364	17463	69350	69681	16976	17324	364	55	1.24e-19	102	73.901	269	73.90	269	48	45	47	1	1
Scer_chrM	85779	9364	17463	64491	64584	17049	17141	95	54	4.45e-19	100	86.316	82	86.32	82	10	3	3	1	1
Scer_chrM	85779	9364	17463	2653	2803	17216	17064	157	53	1.60e-18	99.0	78.981	124	78.98	124	23	10	10	1	-1
Scer_chrM	85779	9364	17463	46101	46356	16879	17116	264	52	5.75e-18	97.1	75.379	199	75.38	199	31	27	34	1	1
